team,games_played,wins,losses,win_percent,minutes,points,field_goals_made,field_goals_attempted,field_goals_percent,threes_made,threes_attempted,threes_percent,ft_made,ft_attempted,ft_percent,o_rebound,d_rebound,rebounds,assists,turnovers,steals,blocks,blocks_against,personal_fouls,year,image
Milwaukee Bucks,82,58,24,.707,3966,9589,3504,7411,47.3,1217,3306,36.8,1364,1837,74.3,914,3074,3988,2115,1199,521,403,323,1480,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Boston Celtics,82,57,25,.695,3996,9671,3460,7278,47.5,1315,3492,37.7,1436,1769,81.2,796,2921,3717,2186,1095,521,430,318,1542,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Philadelphia 76ers,82,54,28,.659,3976,9448,3347,6870,48.7,1035,2675,38.7,1719,2058,83.5,715,2641,3356,2063,1121,635,389,380,1675,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Denver Nuggets,82,53,29,.646,3951,9495,3574,7088,50.4,969,2559,37.9,1378,1834,75.1,828,2699,3527,2368,1192,618,368,344,1525,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Cleveland Cavaliers,82,51,31,.622,3976,9205,3408,6984,48.8,950,2589,36.7,1439,1844,78.0,795,2574,3369,2045,1094,586,384,360,1560,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Memphis Grizzlies,82,51,31,.622,3956,9587,3585,7551,47.5,985,2807,35.1,1432,1954,73.3,988,2835,3823,2135,1116,680,473,427,1643,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Sacramento Kings,82,48,34,.585,3966,9898,3573,7232,49.4,1128,3060,36.9,1624,2055,79.0,782,2699,3481,2237,1106,574,275,341,1616,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
New York Knicks,82,47,35,.573,3991,9514,3444,7328,47.0,1037,2930,35.4,1589,2087,76.1,1031,2790,3821,1880,1065,527,340,370,1666,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Brooklyn Nets,82,45,37,.549,3946,9295,3399,6978,48.7,1048,2771,37.8,1449,1811,80.0,674,2648,3322,2093,1127,585,506,317,1730,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Phoenix Suns,82,45,37,.549,3956,9319,3453,7388,46.7,1001,2674,37.4,1412,1781,79.3,971,2657,3628,2235,1110,585,432,327,1739,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Golden State Warriors,82,44,38,.537,3966,9753,3538,7393,47.9,1363,3540,38.5,1314,1655,79.4,864,2793,3657,2446,1336,588,324,326,1756,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
LA Clippers,82,44,38,.537,3966,9314,3370,7060,47.7,1041,2734,38.1,1533,1962,78.1,803,2742,3545,1959,1167,580,364,344,1598,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Miami Heat,82,44,38,.537,3961,8977,3215,6991,46.0,980,2852,34.4,1567,1885,83.1,796,2533,3329,1955,1106,655,243,309,1516,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Los Angeles Lakers,82,43,39,.524,3976,9608,3516,7298,48.2,885,2558,34.6,1691,2182,77.5,818,2930,3748,2072,1154,526,378,416,1466,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Minnesota Timberwolves,82,42,40,.512,3966,9494,3515,7167,49.0,997,2731,36.5,1467,1942,75.5,749,2686,3435,2145,1258,657,444,336,1768,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
New Orleans Pelicans,82,42,40,.512,3971,9378,3447,7180,48.0,899,2468,36.4,1585,2000,79.3,866,2717,3583,2122,1196,681,337,386,1678,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Atlanta Hawks,82,41,41,.500,3971,9711,3658,7574,48.3,882,2505,35.2,1513,1850,81.8,920,2719,3639,2049,1060,580,401,414,1541,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Toronto Raptors,82,41,41,.500,3961,9254,3434,7489,45.9,880,2626,33.5,1506,1922,78.4,1043,2485,3528,1961,956,772,424,376,1641,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Chicago Bulls,82,40,42,.488,3981,9276,3488,7116,49.0,854,2367,36.1,1446,1788,80.9,694,2779,3473,2006,1097,644,371,389,1551,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Oklahoma City Thunder,82,40,42,.488,3971,9633,3533,7590,46.5,995,2797,35.6,1572,1944,80.9,934,2646,3580,2002,1070,676,341,454,1722,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Dallas Mavericks,82,38,44,.463,3986,9366,3283,6909,47.5,1246,3362,37.1,1554,2057,75.5,625,2556,3181,1880,1002,514,304,312,1697,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Utah Jazz,82,37,45,.451,3961,9600,3485,7365,47.3,1094,3099,35.3,1536,1955,78.6,968,2794,3762,2129,1259,500,429,405,1679,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Indiana Pacers,82,35,47,.427,3951,9535,3444,7345,46.9,1112,3030,36.7,1535,1944,79.0,832,2575,3407,2213,1224,631,478,438,1741,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Washington Wizards,82,35,47,.427,3951,9279,3456,7127,48.5,925,2601,35.6,1442,1838,78.5,774,2804,3578,2083,1158,561,424,406,1539,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Orlando Magic,82,34,48,.415,3956,9136,3323,7074,47.0,883,2551,34.6,1607,2050,78.4,833,2713,3546,1906,1236,603,382,415,1652,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Portland Trail Blazers,82,33,49,.402,3946,9299,3317,7001,47.4,1056,2893,36.5,1609,2021,79.6,774,2551,3325,1981,1185,553,376,352,1643,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Charlotte Hornets,82,27,55,.329,3966,9098,3385,7413,45.7,881,2669,33.0,1447,1932,74.9,901,2751,3652,2062,1164,634,425,471,1661,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Houston Rockets,82,22,60,.268,3951,9081,3329,7287,45.7,856,2619,32.7,1567,2078,75.4,1100,2695,3795,1835,1332,600,374,509,1679,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
San Antonio Spurs,82,22,60,.268,3971,9269,3533,7593,46.5,911,2640,34.5,1292,1739,74.3,965,2619,3584,2232,1253,572,322,431,1630,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Detroit Pistons,82,17,65,.207,3961,9045,3244,7140,45.4,934,2659,35.1,1623,2106,77.1,916,2564,3480,1884,1237,574,308,453,1813,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Phoenix Suns,82,64,18,.780,3946,9416,3581,7389,48.5,951,2616,36.4,1303,1635,79.7,801,2913,3714,2244,1060,702,359,327,1633,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Memphis Grizzlies,82,56,26,.683,3956,9480,3571,7739,46.1,945,2679,35.3,1393,1898,73.4,1159,2873,4032,2131,1082,800,533,496,1620,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Golden State Warriors,82,53,29,.646,3946,9102,3323,7087,46.9,1176,3231,36.4,1280,1665,76.9,800,2930,3730,2223,1221,719,372,317,1723,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Miami Heat,82,53,29,.646,3971,9022,3246,6954,46.7,1114,2936,37.9,1416,1753,80.8,807,2778,3585,2090,1194,606,265,330,1679,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Dallas Mavericks,82,52,30,.634,3951,8858,3222,6982,46.1,1073,3063,35.0,1341,1739,77.1,759,2769,3528,1918,1025,552,325,300,1612,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Boston Celtics,82,51,31,.622,3981,9164,3341,7167,46.6,1085,3044,35.6,1397,1713,81.6,863,2915,3778,2036,1118,591,478,376,1521,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Milwaukee Bucks,82,51,31,.622,3951,9470,3429,7331,46.8,1153,3151,36.6,1459,1881,77.6,840,2990,3830,1960,1100,623,326,357,1494,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Philadelphia 76ers,82,51,31,.622,3961,9015,3230,6932,46.6,950,2608,36.4,1605,1955,82.1,700,2770,3470,1945,1027,633,435,379,1590,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Utah Jazz,82,49,33,.598,3946,9316,3327,7067,47.1,1192,3308,36.0,1470,1916,76.7,884,2916,3800,1836,1148,588,402,352,1547,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Denver Nuggets,82,48,34,.585,3961,9243,3416,7079,48.3,1039,2944,35.3,1372,1725,79.5,752,2865,3617,2279,1189,592,305,392,1639,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Toronto Raptors,82,48,34,.585,3971,8970,3332,7489,44.5,979,2808,34.9,1327,1749,75.9,1095,2622,3717,1809,1021,738,376,416,1607,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Chicago Bulls,82,46,36,.561,3946,9152,3422,7127,48.0,872,2364,36.9,1436,1766,81.3,711,2760,3471,1958,1053,585,336,410,1540,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Minnesota Timberwolves,82,46,36,.561,3956,9507,3411,7458,45.7,1211,3386,35.8,1474,1894,77.8,921,2700,3621,2106,1175,721,460,397,1786,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Brooklyn Nets,82,44,38,.537,3951,9258,3442,7251,47.5,940,2602,36.1,1434,1781,80.5,844,2796,3640,2071,1153,582,448,403,1670,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Cleveland Cavaliers,82,44,38,.537,3946,8839,3255,6940,46.9,953,2686,35.5,1376,1810,76.0,837,2786,3623,2064,1181,580,343,380,1433,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Atlanta Hawks,82,43,39,.524,3941,9343,3401,7241,47.0,1056,2821,37.4,1485,1829,81.2,823,2783,3606,2017,972,587,348,367,1534,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Charlotte Hornets,82,43,39,.524,3976,9457,3508,7497,46.8,1143,3130,36.5,1298,1753,74.0,888,2767,3655,2302,1087,707,402,377,1629,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
LA Clippers,82,42,40,.512,3956,8890,3285,7170,45.8,1047,2802,37.4,1273,1606,79.3,747,2860,3607,1969,1126,608,406,339,1528,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
New York Knicks,82,37,45,.451,3956,8731,3088,7069,43.7,1082,3029,35.7,1473,1980,74.4,941,2841,3782,1793,1087,570,399,379,1672,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
New Orleans Pelicans,82,36,46,.439,3951,8962,3294,7212,45.7,873,2629,33.2,1501,1903,78.9,981,2726,3707,2047,1153,680,328,391,1612,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Washington Wizards,82,35,47,.427,3966,8907,3327,7056,47.2,860,2512,34.2,1393,1778,78.3,737,2798,3535,2052,1077,522,406,344,1545,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
San Antonio Spurs,82,34,48,.415,3961,9279,3546,7601,46.7,925,2626,35.2,1262,1673,75.4,901,2815,3716,2289,1043,626,403,403,1483,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Los Angeles Lakers,82,33,49,.402,3996,9192,3415,7279,46.9,982,2826,34.7,1380,1884,73.2,782,2826,3608,1968,1191,626,425,338,1654,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Sacramento Kings,82,30,52,.366,3961,9045,3321,7223,46.0,937,2722,34.4,1466,1908,76.8,784,2737,3521,1943,1156,588,369,395,1552,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Portland Trail Blazers,82,27,55,.329,3946,8711,3161,7144,44.2,1043,3017,34.6,1346,1771,76.0,854,2661,3515,1880,1187,657,366,409,1728,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Indiana Pacers,82,25,57,.305,3976,9140,3398,7338,46.3,997,2899,34.4,1347,1754,76.8,925,2671,3596,2081,1183,582,457,401,1675,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Oklahoma City Thunder,82,24,58,.293,3961,8506,3141,7310,43.0,991,3066,32.3,1233,1632,75.6,854,2887,3741,1822,1145,622,380,490,1497,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Detroit Pistons,82,23,59,.280,3956,8596,3129,7267,43.1,925,2838,32.6,1413,1806,78.2,900,2625,3525,1924,1163,630,393,427,1799,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Orlando Magic,82,22,60,.268,3956,8547,3139,7240,43.4,999,3022,33.1,1270,1614,78.7,746,2885,3631,1947,1188,555,367,428,1612,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Houston Rockets,82,20,62,.244,3951,8997,3229,7083,45.6,1105,3170,34.9,1434,2010,71.3,786,2660,3446,1932,1351,600,382,474,1692,2021,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Utah Jazz,72,52,20,.722,3471,8382,2971,6344,46.8,1205,3098,38.9,1235,1546,79.9,765,2709,3474,1703,1023,474,371,282,1335,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Phoenix Suns,72,51,21,.708,3496,8300,3118,6357,49.0,940,2490,37.8,1124,1347,83.4,630,2462,3092,1939,902,517,312,258,1374,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Philadelphia 76ers,72,49,23,.681,3486,8182,2981,6257,47.6,811,2169,37.4,1409,1836,76.7,722,2522,3244,1706,1040,655,447,335,1456,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Brooklyn Nets,72,48,24,.667,3481,8537,3106,6289,49.4,1020,2600,39.2,1305,1623,80.4,640,2559,3199,1929,975,484,379,330,1371,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Denver Nuggets,72,47,25,.653,3496,8284,3114,6422,48.5,927,2462,37.7,1129,1406,80.3,758,2442,3200,1933,972,582,323,325,1374,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
LA Clippers,72,47,25,.653,3456,8209,3009,6242,48.2,1027,2498,41.1,1164,1387,83.9,678,2501,3179,1756,949,509,295,304,1383,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Milwaukee Bucks,72,46,26,.639,3466,8649,3221,6610,48.7,1038,2669,38.9,1169,1539,76.0,741,2724,3465,1834,995,585,334,348,1244,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Dallas Mavericks,72,42,30,.583,3461,8096,2958,6287,47.0,994,2744,36.2,1186,1524,77.8,657,2463,3120,1647,869,450,311,264,1396,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Los Angeles Lakers,72,42,30,.583,3491,7887,2925,6197,47.2,796,2248,35.4,1241,1679,73.9,695,2490,3185,1775,1095,562,386,327,1377,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Portland Trail Blazers,72,42,30,.583,3461,8360,2973,6558,45.3,1132,2939,38.5,1282,1558,82.3,766,2441,3207,1531,799,496,363,333,1362,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Atlanta Hawks,72,41,31,.569,3481,8186,2937,6281,46.8,895,2402,37.3,1417,1745,81.2,760,2525,3285,1737,953,503,342,363,1392,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
New York Knicks,72,41,31,.569,3486,7706,2839,6225,45.6,847,2163,39.2,1181,1506,78.4,696,2554,3250,1541,932,507,365,391,1473,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Miami Heat,72,40,32,.556,3476,7781,2824,6029,46.8,932,2606,35.8,1201,1520,79.0,579,2409,2988,1895,1013,569,286,287,1363,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Golden State Warriors,72,39,33,.542,3461,8187,2973,6347,46.8,1048,2789,37.6,1193,1520,78.5,574,2524,3098,1991,1080,587,342,312,1526,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Memphis Grizzlies,72,38,34,.528,3481,8157,3085,6608,46.7,803,2258,35.6,1184,1536,77.1,803,2543,3346,1938,957,655,364,377,1349,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Boston Celtics,72,36,36,.500,3476,8109,2985,6401,46.6,979,2618,37.4,1160,1496,77.5,765,2421,3186,1689,1012,556,383,334,1471,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Indiana Pacers,72,34,38,.472,3491,8302,3115,6567,47.4,889,2445,36.4,1183,1493,79.2,648,2424,3072,1973,975,611,460,380,1453,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Washington Wizards,72,34,38,.472,3481,8398,3108,6547,47.5,733,2088,35.1,1449,1884,76.9,697,2557,3254,1835,1036,528,297,348,1555,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Charlotte Hornets,72,33,39,.458,3471,7881,2875,6324,45.5,985,2666,36.9,1146,1505,76.1,762,2389,3151,1933,1069,565,344,347,1298,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
San Antonio Spurs,72,33,39,.458,3496,7998,3014,6518,46.2,716,2046,35.0,1254,1584,79.2,669,2489,3158,1759,821,505,366,369,1293,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Chicago Bulls,72,31,41,.431,3476,7969,3035,6380,47.6,904,2446,37.0,995,1258,79.1,693,2544,3237,1927,1089,482,304,364,1362,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
New Orleans Pelicans,72,31,41,.431,3486,8251,3060,6412,47.7,762,2190,34.8,1369,1878,72.9,845,2568,3413,1872,1052,545,315,426,1295,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Sacramento Kings,72,31,41,.431,3461,8189,3067,6382,48.1,874,2400,36.4,1181,1585,74.5,674,2307,2981,1836,963,543,358,336,1400,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Toronto Raptors,72,27,45,.375,3461,8011,2859,6383,44.8,1041,2831,36.8,1252,1536,81.5,680,2314,2994,1735,952,618,388,402,1526,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Minnesota Timberwolves,72,23,49,.319,3481,8073,2932,6546,44.8,944,2706,34.9,1265,1662,76.1,757,2376,3133,1846,1027,632,398,398,1507,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Cleveland Cavaliers,72,22,50,.306,3486,7476,2778,6175,45.0,720,2141,33.6,1200,1614,74.3,751,2327,3078,1716,1114,559,325,425,1308,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Oklahoma City Thunder,72,22,50,.306,3471,7560,2795,6338,44.1,857,2529,33.9,1113,1536,72.5,715,2568,3283,1588,1162,504,316,378,1305,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Orlando Magic,72,21,51,.292,3466,7488,2754,6423,42.9,784,2288,34.3,1196,1543,77.5,747,2525,3272,1571,924,496,318,385,1237,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Detroit Pistons,72,20,52,.278,3486,7676,2783,6162,45.2,832,2370,35.1,1278,1683,75.9,694,2381,3075,1743,1075,531,371,419,1477,2020,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
